AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0113CP00042,CITY OF LONDON,0,531560,181560,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00042,CITY OF LONDON,0,531560,181560,2,1 Driver/Rider,1 Male,60+,70,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00043,CITY OF LONDON,0,533090,181120,1,3 Pedestrian,1 Male,25-59,28,1,2 Serious,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00044,CITY OF LONDON,0,532570,180920,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00045,CITY OF LONDON,0,531610,181270,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00046,CITY OF LONDON,0,532090,182010,1,1 Driver/Rider,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00047,CITY OF LONDON,0,532260,181020,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00048,CITY OF LONDON,0,532360,181560,1,3 Pedestrian,1 Male,25-59,42,1,2 Serious,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00049,CITY OF LONDON,0,531100,181610,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00050,CITY OF LONDON,0,531560,181560,1,2 Passenger,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00051,CITY OF LONDON,0,533360,181120,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00052,CITY OF LONDON,0,532560,180780,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00053,CITY OF LONDON,0,533030,181230,1,3 Pedestrian,2 Female,25-59,42,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0113CP00054,CITY OF LONDON,0,532700,181540,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00056,CITY OF LONDON,0,532860,180840,1,3 Pedestrian,2 Female,25-59,26,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00057,CITY OF LONDON,0,532080,181830,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113CP00058,CITY OF LONDON,0,532790,180970,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113CP00059,CITY OF LONDON,0,531630,180830,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00060,CITY OF LONDON,0,532130,181410,1,3 Pedestrian,1 Male,0-15,14,1,2 Serious,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0113CP00061,CITY OF LONDON,0,532640,181460,1,3 Pedestrian,1 Male,25-59,33,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0113CP00062,CITY OF LONDON,0,532380,180660,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00063,CITY OF LONDON,0,533330,180710,1,1 Driver/Rider,1 Male,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00064,CITY OF LONDON,0,532830,180680,1,1 Driver/Rider,2 Female,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00064,CITY OF LONDON,0,532830,180680,2,1 Driver/Rider,2 Female,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00064,CITY OF LONDON,0,532830,180680,3,2 Passenger,2 Female,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00065,CITY OF LONDON,0,533300,181620,1,3 Pedestrian,2 Female,25-59,52,1,3 Slight,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
0113CP00067,CITY OF LONDON,0,533680,180300,1,1 Driver/Rider,2 Female,60+,60,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00067,CITY OF LONDON,0,533680,180300,2,2 Passenger,2 Female,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00068,CITY OF LONDON,0,532270,181020,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00069,CITY OF LONDON,0,532180,181220,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113CP00070,CITY OF LONDON,0,533600,181180,1,3 Pedestrian,1 Male,16-24,20,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00071,CITY OF LONDON,0,532700,181540,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00071,CITY OF LONDON,0,532700,181540,2,3 Pedestrian,1 Male,16-24,16,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
0113CP00072,CITY OF LONDON,0,531620,181230,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00073,CITY OF LONDON,0,531390,181560,1,1 Driver/Rider,1 Male,60+,71,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00074,CITY OF LONDON,0,532630,181100,1,2 Passenger,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113CP00075,CITY OF LONDON,0,532640,181100,1,2 Passenger,2 Female,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00076,CITY OF LONDON,0,533190,181420,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00077,CITY OF LONDON,0,532970,180820,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00079,CITY OF LONDON,0,532860,180820,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00080,CITY OF LONDON,0,532720,181120,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0113CP00081,CITY OF LONDON,0,533040,180930,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00081,CITY OF LONDON,0,533040,180930,2,3 Pedestrian,1 Male,25-59,29,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0113CP00082,CITY OF LONDON,0,531630,181170,2,3 Pedestrian,2 Female,16-24,20,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00082,CITY OF LONDON,0,531630,181170,1,3 Pedestrian,2 Female,16-24,19,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00084,CITY OF LONDON,0,533170,181400,1,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00085,CITY OF LONDON,0,532420,180820,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00086,CITY OF LONDON,0,532350,180990,1,1 Driver/Rider,1 Male,25-59,56,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00087,CITY OF LONDON,0,532090,181930,1,2 Passenger,1 Male,16-24,16,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113CP00088,CITY OF LONDON,0,531570,181560,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00089,CITY OF LONDON,0,531350,181560,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00092,CITY OF LONDON,0,533460,181120,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113CP00093,CITY OF LONDON,0,532860,180780,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00094,CITY OF LONDON,0,532143,181583,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00095,CITY OF LONDON,0,532650,181110,1,1 Driver/Rider,2 Female,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00096,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00097,CITY OF LONDON,0,531170,181120,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00098,CITY OF LONDON,0,532870,180840,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00099,CITY OF LONDON,0,532920,180840,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00100,CITY OF LONDON,0,531660,180920,1,1 Driver/Rider,1 Male,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00101,CITY OF LONDON,0,531390,180810,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00102,CITY OF LONDON,0,531770,180820,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00103,CITY OF LONDON,0,532150,181590,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00104,CITY OF LONDON,0,532450,181020,1,3 Pedestrian,1 Male,25-59,37,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00105,CITY OF LONDON,0,532360,180990,1,3 Pedestrian,2 Female,25-59,40,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113CP00106,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00107,CITY OF LONDON,0,531850,181700,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00108,CITY OF LONDON,0,531801,181410,1,3 Pedestrian,1 Male,25-59,26,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
0113CP00109,CITY OF LONDON,0,532650,181110,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00110,CITY OF LONDON,0,533330,181690,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00111,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00112,CITY OF LONDON,0,532180,181040,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00113,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00114,CITY OF LONDON,0,533810,180960,2,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113CP00114,CITY OF LONDON,0,533810,180960,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00115,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,1 Male,25-59,31,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00116,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00117,CITY OF LONDON,0,532390,180700,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00118,CITY OF LONDON,0,532700,181130,1,1 Driver/Rider,1 Male,25-59,47,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00119,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,1 Male,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00121,CITY OF LONDON,0,531630,181170,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00122,CITY OF LONDON,0,532650,181110,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00123,CITY OF LONDON,0,533030,180820,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00124,CITY OF LONDON,0,532700,181110,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00125,CITY OF LONDON,0,532100,181830,1,1 Driver/Rider,1 Male,25-59,56,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00126,CITY OF LONDON,0,532860,180760,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00127,CITY OF LONDON,0,533750,180610,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00129,CITY OF LONDON,0,533330,181670,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00130,CITY OF LONDON,0,532890,181200,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00131,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00131,CITY OF LONDON,0,532970,180950,2,3 Pedestrian,2 Female,25-59,36,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00132,CITY OF LONDON,0,532810,181170,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00133,CITY OF LONDON,0,532940,181490,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00134,CITY OF LONDON,0,531630,180810,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00135,CITY OF LONDON,0,531280,181150,1,3 Pedestrian,1 Male,25-59,49,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00136,CITY OF LONDON,0,531420,181560,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0113CP00137,CITY OF LONDON,0,532700,181120,1,3 Pedestrian,1 Male,25-59,43,1,3 Slight,04 Crossing Road Within 50m Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00138,CITY OF LONDON,0,531810,180950,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00139,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,1 Male,60+,65,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
0113CP00139,CITY OF LONDON,0,531400,181560,2,1 Driver/Rider,2 Female,16-24,23,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00140,CITY OF LONDON,0,531020,181610,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00142,CITY OF LONDON,0,532830,181520,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00143,CITY OF LONDON,0,532170,181570,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00144,CITY OF LONDON,0,532930,180860,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00145,CITY OF LONDON,0,531400,181560,1,1 Driver/Rider,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00146,CITY OF LONDON,0,531640,180970,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00146,CITY OF LONDON,0,531640,180970,2,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00147,CITY OF LONDON,0,532970,180950,2,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00147,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00149,CITY OF LONDON,0,531630,181170,1,3 Pedestrian,2 Female,25-59,49,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
0113CP00150,CITY OF LONDON,0,532970,180950,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00151,CITY OF LONDON,0,533080,181120,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00152,CITY OF LONDON,0,532640,181060,1,3 Pedestrian,2 Female,25-59,32,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0113CP00153,CITY OF LONDON,0,531630,181170,1,1 Driver/Rider,1 Male,25-59,43,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00154,CITY OF LONDON,0,533280,181590,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00155,CITY OF LONDON,0,532480,180800,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113CP00157,CITY OF LONDON,0,532720,181120,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113CP00158,CITY OF LONDON,0,532890,181210,1,3 Pedestrian,2 Female,25-59,38,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113CP00160,CITY OF LONDON,0,533200,181430,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00161,CITY OF LONDON,0,532760,180710,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113CP00162,CITY OF LONDON,0,533380,181920,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
